tier,score,name,ein,city,zip,metro_atlanta,focus,ntee,irs_status,form,fy,total_assets,total_revenue,grants_paid,loans_receivable,program_related_investments,why_shortlisted,suggested_segment,suggested_org_type,website,mission,approve
1,9,World Outreach Fund,95-3849002,Atlanta,31145,yes,Housing,L210,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,42560193,4841625,2375764,31715406,0,Housing; large assets; lending/PRI activity; grantmaker,Capital Aggregator,Loan or Private Investment Fund,N/A,"TO PROVIDE THE ELDERLY AND HANDICAPPED PERSONS OR LOW INCOME FAMILIES WITH HOUSING FACILITIES AND SERVICES DESINGED TO MEET PHYSICAL, SOCIAL, AND PSYCHOLOGICAL NEEDS AND TO PROMOTE THEIR HEALTH, SECURITY, AND HAPPINESS. ",
1,8,Housing Economic Reinvestment Opportunities Inc,26-4311505,Macon,31201,no,Housing,L20,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,21751441,5680420,0,0,0,Housing; lending/PRI activity; outside metro Atlanta,Capital Aggregator,Loan or Private Investment Fund,N/A,The entity's purpose is to provide housing and economic opportunities for low and very-low income people and families.,
1,8,Golden Harvest Food Bank Inc,58-1466516,Augusta,30909,no,Food & Agriculture,K31Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2020,21730028,42603313,24988411,0,0,Food & Agriculture; grantmaker; outside metro Atlanta,Capital Allocator,DAF or Charitable Fund,WWW. GOLDENHARVEST.ORG,"GOLDEN HARVEST FOOD BANK, INC.'S MISSION IS ""FEEDING LIVES TOGETHER.""",
1,8,Second Harvest Of South Georgia Inc,58-2208545,Valdosta,31601,no,Food & Agriculture,K31,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,19828071,36132665,29509903,0,0,Food & Agriculture; grantmaker; outside metro Atlanta,Capital Allocator,DAF or Charitable Fund,WWW.FEEDINGSGA.ORG,TO PROVIDE FOOD FOR THE NEEDY PEOPLE IN SOUTH GEORGIA.,
1,8,Broadway Towers Inc,58-1354973,Atlanta,31145,yes,Housing,L21Z,Public charity: program-service supported 509(a)(2),990,2021,17531706,3119210,1740000,0,10918000,Housing; lending/PRI activity; grantmaker,Capital Aggregator,Loan or Private Investment Fund,N/A,MANAGEMENT OF 3 APARTMENT COMPLEXES FOR THE BENEFIT OF ELDERLY AND HANDICAPPED RESIDENTS.,
1,8,Food Bank Of Northeast Georgia Inc,58-1938066,Athens,30607,no,Food & Agriculture,K31Z,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,15574908,23249969,0,5078250,0,Food & Agriculture; lending/PRI activity; outside metro Atlanta,Capital Aggregator,Loan or Private Investment Fund,WWW.FOODBANKNEGA.ORG,"WE ARE A NETWORK OF FRIENDS WORKING TO FEED THE ILL, NEEDY, SENIORS, AND CHILDREN OF NORTHEAST GEORGIA. OUR MISSION IS TO WORK TOWARD ENDING HUNGER AS PART OF AN OVERALL COMMUNITY EFFORT TO ALLEVIATE POVERTY.",
1,8,Council Services Inc,58-2639826,Americus,31709,no,Food & Agriculture,K30,Public charity: program-service supported 509(a)(2),990,2021,11942180,9376326,0,5220916,0,Food & Agriculture; lending/PRI activity; outside metro Atlanta,Capital Aggregator,Loan or Private Investment Fund,,TITLE III OLDER AMERICANS ACT,
1,8,Augusta Affordable Housingcorporation,20-4552515,Augusta,30901,no,Housing,L21,Public charity: publicly supported 170(b)(1)(A)(vi),990,2021,11838255,733128,0,4912009,0,Housing; lending/PRI activity; outside metro Atlanta,Capital Aggregator,Loan or Private Investment Fund,N/A,"TO PROVIDE SAFE, AFFORDABLE AND DECENT HOUSING TO PERSONS OF LOW TO MODERATE INCOME",
1,8,Rebuild America Inc,46-0711021,Bishop,30621,no,Housing,L21,Public charity: program-service supported 509(a)(2),990,2021,6086042,788717,0,991349,510288,Housing; lending/PRI activity; outside metro Atlanta,Capital Aggregator,Loan or Private Investment Fund,N/A,THE ORGANIZATION'S PRIMARY MISSION IS TO PROVIDE QUALITY SAFE AFFORDABLE HOUSING FOR ELIGIBLE LOW-INCOME INDIVIDUALS AND FAMILIES.,
1,7,George West Mental Health Foundation Inc,58-1489941,Brookhaven,30329,yes,Health (mental/crisis),F33,Public charity: program-service supported 509(a)(2),990,2021,80821604,27350526,2545228,0,0,Health (mental/crisis); large assets; grantmaker,Capital Allocator,DAF or Charitable Fund,WWW.SKYLANDTRAIL.ORG,"SKYLAND TRAIL INSPIRES PEOPLE WITH MENTAL ILLNESS TO THRIVE THROUGH A HOLISTIC PROGRAM OF EVIDENCE-BASED PSYCHIATRIC TREATMENT, INTEGRATED MEDICAL CARE, RESEARCH, AND EDUCATION.",
