Program,Census Tract,Geography Type,CBSA Title,County Name,State Name,Tract Income Level,Tract Median Family Income as Percent of MSA Median Family Income,Tract Population,Place/Neighborhood,Federal Reserve District,Year,Amount
LIHTC,13017960300,Micropolitan Statistical Area,"Fitzgerald, GA","Ben Hill County, GA",Georgia,Middle,0.8406,4037,"Fitzgerald, GA",6,2016,854000
LIHTC,13019970300,Rural,NA,"Berrien County, GA",Georgia,Moderate,0.7539,2884,"Nashville, GA",6,2016,875960
LIHTC,13021013701,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,NA,0,2211,"Macon, GA",6,2016,978364
LIHTC,13021013608,Metropolitan Statistical Area,"Macon-Bibb County, GA","Bibb County, GA",Georgia,Upper,1.3484,3630,"Lizella, GA",6,2016,1183574
LIHTC,13029920308,Metropolitan Statistical Area,"Savannah, GA","Bryan County, GA",Georgia,Upper,1.2688,10880,"Buckhead, Richmond Hill, GA",6,2016,922936
LIHTC,13033950500,Metropolitan Statistical Area,"Augusta-Richmond County, GA-SC","Burke County, GA",Georgia,Middle,0.9261,5697,"Waynesboro, GA",6,2016,840974
LIHTC,13039010404,Micropolitan Statistical Area,"Kingsland, GA","Camden County, GA",Georgia,Middle,0.969,5961,"Saint Marys, GA",6,2016,817270
LIHTC,13075960302,Rural,NA,"Cook County, GA",Georgia,Upper,1.2844,3625,"Adel, GA",6,2016,578331
LIHTC,13089023601,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Middle,0.8928,2756,"East Lake Terrace, Decatur, GA",6,2016,826253
LIHTC,13089023114,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Middle,0.8432,2948,"Stone Mountain, GA",6,2016,2321843
LIHTC,13089022501,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Middle,1.1506,3960,"Westchester Hills/Chelsea Heights, Decatur, GA",6,2016,772102
LIHTC,13089023317,Metropolitan Statistical Area,"Atlanta-Sandy Springs-Roswell, GA","DeKalb County, GA",Georgia,Low,0.4219,3844,"Lithonia, GA",6,2016,1098000
