program_label,code,name,total_units,pct_occupied,number_reported,people_total
Summary of All HUD Programs,13001,Appling County,184,91,167,316
Public Housing,13001,Appling County,159,96,153,295
Housing Choice Vouchers,13001,Appling County,2,-4,-4,-4
Project Based Section 8,13001,Appling County,23,58,13,19
Summary of All HUD Programs,13003,Atkinson County,74,94,73,150
Public Housing,13003,Atkinson County,44,98,43,81
Housing Choice Vouchers,13003,Atkinson County,2,-4,-4,-4
Project Based Section 8,13003,Atkinson County,28,91,29,62
Summary of All HUD Programs,13005,Bacon County,267,91,242,564
Public Housing,13005,Bacon County,262,91,239,559
Housing Choice Vouchers,13005,Bacon County,5,-4,-4,-4
Summary of All HUD Programs,13007,Baker County,42,95,37,71
Public Housing,13007,Baker County,39,97,35,62
Housing Choice Vouchers,13007,Baker County,3,-4,-4,-4
Summary of All HUD Programs,13009,Baldwin County,580,78,495,1067
Housing Choice Vouchers,13009,Baldwin County,47,62,31,50
Project Based Section 8,13009,Baldwin County,511,79,443,996
811/PRAC,13009,Baldwin County,22,97,21,21
Summary of All HUD Programs,13011,Banks County,19,98,18,34
Project Based Section 8,13011,Banks County,19,98,18,34
Summary of All HUD Programs,13013,Barrow County,520,81,427,852
Public Housing,13013,Barrow County,20,100,20,37
Housing Choice Vouchers,13013,Barrow County,154,62,101,211
Project Based Section 8,13013,Barrow County,310,88,274,570
202/PRAC,13013,Barrow County,36,93,32,34
Summary of All HUD Programs,13015,Bartow County,599,86,530,1027
Housing Choice Vouchers,13015,Bartow County,89,62,58,131
Project Based Section 8,13015,Bartow County,500,90,467,891
202/PRAC,13015,Bartow County,2,-4,-4,-4
811/PRAC,13015,Bartow County,8,-4,-4,-4
Summary of All HUD Programs,13017,Ben Hill County,441,93,408,880
Public Housing,13017,Ben Hill County,221,100,221,544
Housing Choice Vouchers,13017,Ben Hill County,15,-4,-4,-4
Project Based Section 8,13017,Ben Hill County,205,88,177,318
Summary of All HUD Programs,13019,Berrien County,168,96,162,297
Public Housing,13019,Berrien County,159,98,156,282
Housing Choice Vouchers,13019,Berrien County,9,-4,-4,-4
Summary of All HUD Programs,13021,Bibb County,7108,87,6603,14800
Public Housing,13021,Bibb County,219,68,150,495
Housing Choice Vouchers,13021,Bibb County,3642,90,3584,8561
Mod Rehab,13021,Bibb County,60,73,40,93
Project Based Section 8,13021,Bibb County,3056,84,2702,5523
202/PRAC,13021,Bibb County,117,95,112,113
811/PRAC,13021,Bibb County,14,89,15,15
Summary of All HUD Programs,13023,Bleckley County,132,62,82,159
Housing Choice Vouchers,13023,Bleckley County,17,62,11,20
Project Based Section 8,13023,Bleckley County,115,62,71,139
Summary of All HUD Programs,13025,Brantley County,47,93,44,92
Public Housing,13025,Brantley County,41,98,40,78
Housing Choice Vouchers,13025,Brantley County,6,-4,-4,-4
Summary of All HUD Programs,13027,Brooks County,234,92,215,552
Public Housing,13027,Brooks County,202,97,194,496
Housing Choice Vouchers,13027,Brooks County,31,62,20,55
202/PRAC,13027,Brooks County,1,-4,-4,-4
Summary of All HUD Programs,13029,Bryan County,112,84,96,162
Public Housing,13029,Bryan County,38,97,37,80
Housing Choice Vouchers,13029,Bryan County,44,62,29,52
202/PRAC,13029,Bryan County,30,99,30,30
Summary of All HUD Programs,13031,Bulloch County,537,85,454,921
Public Housing,13031,Bulloch County,152,85,130,290
Housing Choice Vouchers,13031,Bulloch County,89,62,58,130
Project Based Section 8,13031,Bulloch County,296,91,266,501
Summary of All HUD Programs,13033,Burke County,493,87,414,1040
Public Housing,13033,Burke County,309,96,297,759
Housing Choice Vouchers,13033,Burke County,50,62,33,91
Project Based Section 8,13033,Burke County,134,75,84,190
Summary of All HUD Programs,13035,Butts County,136,88,116,222
Public Housing,13035,Butts County,89,88,75,165
Housing Choice Vouchers,13035,Butts County,14,-4,-4,-4
202/PRAC,13035,Butts County,33,99,32,32
Summary of All HUD Programs,13037,Calhoun County,91,95,87,228
Public Housing,13037,Calhoun County,88,97,85,223
Housing Choice Vouchers,13037,Calhoun County,3,-4,-4,-4
Summary of All HUD Programs,13039,Camden County,495,81,395,898
Public Housing,13039,Camden County,113,96,108,240
Housing Choice Vouchers,13039,Camden County,141,62,92,211
Project Based Section 8,13039,Camden County,224,84,178,428
202/PRAC,13039,Camden County,17,100,17,19
Summary of All HUD Programs,13043,Candler County,125,99,123,296
Public Housing,13043,Candler County,122,99,121,290
Housing Choice Vouchers,13043,Candler County,2,-4,-4,-4
Project Based Section 8,13043,Candler County,1,-4,-4,-4
Summary of All HUD Programs,13045,Carroll County,1118,82,986,2154
Public Housing,13045,Carroll County,55,98,54,95
Housing Choice Vouchers,13045,Carroll County,769,77,648,1543
Project Based Section 8,13045,Carroll County,294,93,284,516
Summary of All HUD Programs,13047,Catoosa County,351,92,327,567
Public Housing,13047,Catoosa County,104,100,104,152
Housing Choice Vouchers,13047,Catoosa County,37,62,24,55
Project Based Section 8,13047,Catoosa County,210,94,199,360
Summary of All HUD Programs,13049,Charlton County,52,93,47,92
Public Housing,13049,Charlton County,50,94,46,89
Housing Choice Vouchers,13049,Charlton County,2,-4,-4,-4
Summary of All HUD Programs,13051,Chatham County,5966,87,5150,12053
Public Housing,13051,Chatham County,917,74,673,1684
Housing Choice Vouchers,13051,Chatham County,3428,89,3003,7515
Mod Rehab,13051,Chatham County,20,90,17,17
Project Based Section 8,13051,Chatham County,1527,91,1400,2764
202/PRAC,13051,Chatham County,39,97,34,35
811/PRAC,13051,Chatham County,36,70,23,38
Summary of All HUD Programs,13053,Chattahoochee County,6,-4,-4,-4
Housing Choice Vouchers,13053,Chattahoochee County,5,-4,-4,-4
Project Based Section 8,13053,Chattahoochee County,1,-4,-4,-4
Summary of All HUD Programs,13055,Chattooga County,395,94,375,653
Public Housing,13055,Chattooga County,18,100,18,31
Housing Choice Vouchers,13055,Chattooga County,12,-4,-4,-4
Project Based Section 8,13055,Chattooga County,353,94,337,602
811/PRAC,13055,Chattooga County,12,94,12,12
Summary of All HUD Programs,13057,Cherokee County,691,66,477,1109
Public Housing,13057,Cherokee County,145,64,93,205
Housing Choice Vouchers,13057,Cherokee County,467,62,306,824
Project Based Section 8,13057,Cherokee County,67,99,67,69
811/PRAC,13057,Cherokee County,12,84,11,11
Summary of All HUD Programs,13059,Clarke County,2336,85,2010,4557
Public Housing,13059,Clarke County,1250,96,1183,2803
Housing Choice Vouchers,13059,Clarke County,330,62,216,458
Project Based Section 8,13059,Clarke County,710,76,571,1256
202/PRAC,13059,Clarke County,45,85,40,40
Summary of All HUD Programs,13061,Clay County,60,91,54,123
Public Housing,13061,Clay County,24,100,24,61
Project Based Section 8,13061,Clay County,36,84,30,62
